Task ID,Project ID,Task Name,Task Status,Assigned To,Hours Spent,Estimated_Hours,Complexity_Score,Depends_On_Task,Task_Due_Date,Progress
T002,P009,Task 002 of Highway Reconstruction Project 009,Pending,Ivy,2,1,7,T001,27/05/2025,0.88
T003,P009,Task 003 of Highway Reconstruction Project 009,Pending,Charlie,26,33,5,T002,13/05/2025,0.97
T001,P010,Task 001 of Airport Expansion Project 010,Pending,Grace,32,33,8,None,06/06/2024,0.1
T002,P010,Task 002 of Airport Expansion Project 010,Pending,Alice,16,11,3,T001,01/06/2024,0.7
T003,P010,Task 003 of Airport Expansion Project 010,Pending,Charlie,11,13,8,T002,14/05/2024,0.6
T001,P011,Task 001 of Shopping Mall Renovation Project 011,In Progress,Eve,15,19,4,None,14/07/2024,0.64
T002,P011,Task 002 of Shopping Mall Renovation Project 011,In Progress,Eve,40,50,2,T001,18/08/2024,0.44
T003,P011,Task 003 of Shopping Mall Renovation Project 011,Pending,Alice,1,1,3,T002,21/07/2024,0.02
T001,P012,Task 001 of University Dormitory Construction Project 012,Completed,Frank,15,16,2,None,15/02/2024,1.0
T002,P012,Task 002 of University Dormitory Construction Project 012,Completed,Bob,40,55,1,None,16/02/2024,1.0
T003,P012,Task 003 of University Dormitory Construction Project 012,Pending,Alice,18,17,2,T002,14/06/2025,0.98
T001,P013,Task 001 of Sports Stadium Upgrade Project 013,Completed,Alice,12,10,6,None,23/08/2024,1.0
T002,P013,Task 002 of Sports Stadium Upgrade Project 013,In Progress,Bob,38,30,4,None,26/06/2024,0.28
T003,P013,Task 003 of Sports Stadium Upgrade Project 013,In Progress,Alice,6,7,6,T002,15/07/2024,0.55
T001,P014,Task 001 of Public Library Renovation Project 014,In Progress,Grace,31,32,5,None,08/12/2024,0.1
T002,P014,Task 002 of Public Library Renovation Project 014,Pending,Charlie,8,9,9,T001,26/01/2025,0.82
T003,P014,Task 003 of Public Library Renovation Project 014,Pending,Charlie,6,4,6,T002,16/12/2024,0.22
T001,P015,Task 001 of Building a Park Project 015,Completed,Ivy,8,5,7,None,08/04/2024,1.0
T002,P015,Task 002 of Building a Park Project 015,Completed,Charlie,4,4,6,T001,06/04/2024,1.0
T003,P015,Task 003 of Building a Park Project 015,Completed,Bob,22,21,2,T002,09/04/2024,1.0
T001,P016,Task 001 of Renovation of a School Project 016,Completed,Bob,5,5,6,None,24/09/2024,1.0
T002,P016,Task 002 of Renovation of a School Project 016,Pending,Eve,27,34,1,T001,17/10/2024,0.38
T003,P016,Task 003 of Renovation of a School Project 016,Pending,Eve,25,24,1,T002,09/09/2024,0.55
T001,P017,Task 001 of Innovation of a Classroom Project 017,Pending,Eve,40,52,4,None,14/10/2024,0.87
T002,P017,Task 002 of Innovation of a Classroom Project 017,Completed,Charlie,34,43,5,T001,15/09/2024,1.0
T003,P017,Task 003 of Innovation of a Classroom Project 017,In Progress,Alice,18,15,2,T002,02/10/2024,0.62
T001,P018,Task 001 of Construction of a Hospital Wing Project 018,In Progress,Grace,26,35,10,None,24/02/2024,0.66
T002,P018,Task 002 of Construction of a Hospital Wing Project 018,In Progress,Grace,37,36,4,T001,23/02/2024,0.54
T003,P018,Task 003 of Construction of a Hospital Wing Project 018,Pending,Grace,7,6,9,T002,14/02/2024,0.2
T001,P019,Task 001 of Road Expansion Project 019,Pending,Grace,11,11,1,None,20/12/2024,0.61
T002,P019,Task 002 of Road Expansion Project 019,Completed,Ivy,1,1,5,None,20/09/2024,1.0
T003,P019,Task 003 of Road Expansion Project 019,Pending,Charlie,13,18,3,T002,20/12/2024,0.46
T001,P020,Task 001 of Bridge Maintenance Project 020,Completed,Eve,18,21,2,None,19/06/2024,1.0
T002,P020,Task 002 of Bridge Maintenance Project 020,In Progress,Grace,36,25,7,T001,28/07/2024,0.84
T003,P020,Task 003 of Bridge Maintenance Project 020,Pending,Grace,24,22,8,T002,29/06/2024,0.11
T001,P021,Task 001 of Office Building Renovation Project 021,In Progress,Alice,26,25,6,None,13/12/2024,0.43
T002,P021,Task 002 of Office Building Renovation Project 021,Completed,Frank,21,23,2,T001,22/09/2024,1.0
T003,P021,Task 003 of Office Building Renovation Project 021,Completed,Ivy,15,14,8,T002,07/09/2024,1.0
T001,P022,Task 001 of Apartment Complex Development Project 022,In Progress,Ivy,6,7,7,None,05/04/2024,0.68
T002,P022,Task 002 of Apartment Complex Development Project 022,In Progress,Grace,7,6,1,T001,19/04/2024,0.28
T003,P022,Task 003 of Apartment Complex Development Project 022,In Progress,Ivy,18,18,9,T002,15/04/2024,0.77
T001,P023,Task 001 of Commercial Center Construction Project 023,Pending,Alice,17,20,10,None,06/05/2024,0.45
T002,P023,Task 002 of Commercial Center Construction Project 023,Pending,Charlie,27,27,2,T001,25/05/2024,0.02
T003,P023,Task 003 of Commercial Center Construction Project 023,In Progress,Charlie,19,24,3,T002,28/03/2024,0.45
T001,P024,Task 001 of Highway Reconstruction Project 024,In Progress,Charlie,1,1,3,None,15/08/2024,0.05
T002,P024,Task 002 of Highway Reconstruction Project 024,Pending,Ivy,1,1,3,T001,25/08/2024,0.75
T003,P024,Task 003 of Highway Reconstruction Project 024,Completed,Eve,24,33,3,T002,19/08/2024,1.0
T001,P025,Task 001 of Airport Expansion Project 025,Completed,Alice,37,41,10,None,19/07/2024,1.0
T002,P025,Task 002 of Airport Expansion Project 025,In Progress,David,10,11,7,T001,06/07/2024,0.72
T003,P025,Task 003 of Airport Expansion Project 025,In Progress,Charlie,16,19,3,T002,19/06/2024,0.5
T001,P026,Task 001 of Shopping Mall Renovation Project 026,In Progress,Eve,21,25,10,None,25/04/2025,0.1
T002,P026,Task 002 of Shopping Mall Renovation Project 026,Completed,Eve,34,42,2,T001,30/07/2024,1.0
T003,P026,Task 003 of Shopping Mall Renovation Project 026,Pending,Alice,3,3,1,T002,05/04/2025,0.82
T001,P027,Task 001 of University Dormitory Construction Project 027,In Progress,Frank,35,38,10,None,25/12/2024,0.84
T002,P027,Task 002 of University Dormitory Construction Project 027,In Progress,Bob,7,6,3,T001,15/03/2025,1.0
T003,P027,Task 003 of University Dormitory Construction Project 027,In Progress,Alice,30,34,6,T002,09/01/2025,0.19
T001,P028,Task 001 of Sports Stadium Upgrade Project 028,Pending,Alice,22,29,5,None,12/01/2025,0.31
T002,P028,Task 002 of Sports Stadium Upgrade Project 028,Pending,Bob,16,20,9,T001,15/05/2025,0.78
T003,P028,Task 003 of Sports Stadium Upgrade Project 028,Pending,David,23,31,5,T002,12/01/2025,0.98
T001,P029,Task 001 of Public Library Renovation Project 029,Completed,Grace,33,27,8,None,08/05/2024,1.0
T002,P029,Task 002 of Public Library Renovation Project 029,Pending,Charlie,30,41,9,None,13/12/2024,0.15
T003,P029,Task 003 of Public Library Renovation Project 029,Pending,Charlie,22,20,8,None,20/01/2025,0.4
T001,P030,Task 001 of Building a Park Project 030,Pending,Ivy,33,43,7,None,26/07/2024,0.79
T002,P030,Task 002 of Building a Park Project 030,Pending,Charlie,1,1,10,None,24/07/2024,0.28
T003,P030,Task 003 of Building a Park Project 030,In Progress,Bob,16,19,2,T002,24/07/2024,0.07
T001,P031,Task 001 of Renovation of a School Project 031,In Progress,Bob,2,1,7,None,06/06/2024,0.45
T002,P031,Task 002 of Renovation of a School Project 031,In Progress,Eve,11,8,1,T001,30/05/2024,0.79
T003,P031,Task 003 of Renovation of a School Project 031,Completed,Eve,5,6,1,None,22/05/2024,1.0
T001,P032,Task 001 of Innovation of a Classroom Project 032,In Progress,Eve,12,10,9,None,20/02/2025,0.54
T002,P032,Task 002 of Innovation of a Classroom Project 032,Pending,Charlie,4,5,7,T001,14/04/2025,0.39
T003,P032,Task 003 of Innovation of a Classroom Project 032,In Progress,David,33,31,1,T002,19/03/2025,0.79
T001,P033,Task 001 of Construction of a Hospital Wing Project 033,Completed,David,4,3,8,None,20/09/2024,1.0
T002,P033,Task 002 of Construction of a Hospital Wing Project 033,In Progress,Grace,10,8,5,T001,16/10/2024,0.71
T003,P033,Task 003 of Construction of a Hospital Wing Project 033,Completed,David,4,4,2,T002,18/09/2024,1.0
T001,P034,Task 001 of Road Expansion Project 034,Pending,Grace,14,16,10,None,22/08/2024,0.47
T002,P034,Task 002 of Road Expansion Project 034,Completed,Ivy,22,21,10,T001,10/08/2024,1.0
T003,P034,Task 003 of Road Expansion Project 034,In Progress,Charlie,32,43,9,T002,20/08/2024,0.68
T001,P035,Task 001 of Bridge Maintenance Project 035,Completed,Eve,14,9,5,None,26/07/2024,1.0
T002,P035,Task 002 of Bridge Maintenance Project 035,Completed,Grace,11,11,1,T001,18/07/2024,1.0
T003,P035,Task 003 of Bridge Maintenance Project 035,Pending,David,40,40,6,T002,16/04/2025,0.29
T001,P036,Task 001 of Office Building Renovation Project 036,In Progress,Alice,8,8,9,None,05/07/2024,0.79
T002,P036,Task 002 of Office Building Renovation Project 036,Pending,Frank,16,19,5,T001,26/07/2024,0.64
T003,P036,Task 003 of Office Building Renovation Project 036,Completed,Ivy,32,26,4,T002,24/06/2024,1.0
T001,P037,Task 001 of Apartment Complex Development Project 037,In Progress,Ivy,12,13,6,None,26/07/2024,0.09
T002,P037,Task 002 of Apartment Complex Development Project 037,Completed,Grace,15,13,5,T001,12/05/2024,1.0
T003,P037,Task 003 of Apartment Complex Development Project 037,Pending,Ivy,2,1,5,None,30/05/2024,0.33
T001,P038,Task 001 of Commercial Center Construction Project 038,Pending,Alice,14,15,2,None,29/02/2024,0.93
T002,P038,Task 002 of Commercial Center Construction Project 038,Completed,Charlie,38,36,8,T001,07/03/2024,1.0
T003,P038,Task 003 of Commercial Center Construction Project 038,In Progress,Charlie,32,26,6,None,27/02/2024,0.21
T001,P039,Task 001 of Highway Reconstruction Project 039,Completed,Charlie,39,48,4,None,22/03/2024,1.0
T002,P039,Task 002 of Highway Reconstruction Project 039,Pending,Ivy,2,1,9,T001,29/03/2024,0.24
T003,P039,Task 003 of Highway Reconstruction Project 039,Completed,Eve,6,7,2,T002,23/03/2024,1.0
T001,P040,Task 001 of Airport Expansion Project 040,Pending,David,21,24,10,None,23/09/2024,0.24
T002,P040,Task 002 of Airport Expansion Project 040,In Progress,David,21,27,2,T001,22/07/2024,0.29
T003,P040,Task 003 of Airport Expansion Project 040,Pending,Charlie,21,26,8,None,31/07/2024,0.54
T001,P041,Task 001 of Shopping Mall Renovation Project 041,Completed,Eve,32,38,9,None,10/03/2024,1.0
T002,P041,Task 002 of Shopping Mall Renovation Project 041,Pending,Eve,30,22,9,T001,13/03/2024,0.93
T003,P041,Task 003 of Shopping Mall Renovation Project 041,In Progress,Alice,28,38,9,None,16/03/2024,0.8
T001,P042,Task 001 of University Dormitory Construction Project 042,In Progress,Frank,32,37,2,None,27/05/2024,0.05
T002,P042,Task 002 of University Dormitory Construction Project 042,Pending,Bob,7,9,10,T001,23/07/2024,0.36
T003,P042,Task 003 of University Dormitory Construction Project 042,Pending,Alice,29,36,8,T002,25/07/2024,0.66
T001,P043,Task 001 of Sports Stadium Upgrade Project 043,In Progress,Alice,35,42,8,None,26/05/2024,0.28
T002,P043,Task 002 of Sports Stadium Upgrade Project 043,Completed,Bob,6,6,7,None,07/05/2024,1.0
T003,P043,Task 003 of Sports Stadium Upgrade Project 043,Completed,David,19,16,9,T002,10/06/2024,1.0
T001,P044,Task 001 of Public Library Renovation Project 044,Pending,Grace,34,45,4,None,24/07/2024,0.54
T002,P044,Task 002 of Public Library Renovation Project 044,Completed,Charlie,8,6,9,T001,09/09/2024,1.0
T003,P044,Task 003 of Public Library Renovation Project 044,In Progress,Charlie,30,36,10,T002,03/09/2024,0.06
T001,P045,Task 001 of Building a Park Project 045,Completed,Ivy,25,34,1,None,11/07/2024,1.0
T002,P045,Task 002 of Building a Park Project 045,In Progress,Charlie,39,28,5,T001,13/02/2025,0.55
T003,P045,Task 003 of Building a Park Project 045,Completed,Bob,39,29,3,T002,04/07/2024,1.0
T001,P046,Task 001 of Renovation of a School Project 046,In Progress,Bob,39,30,9,None,02/06/2024,0.51
T002,P046,Task 002 of Renovation of a School Project 046,Pending,Eve,25,24,3,None,13/06/2024,0.43
T003,P046,Task 003 of Renovation of a School Project 046,In Progress,Eve,11,10,6,T002,06/06/2024,0.18
T001,P047,Task 001 of Innovation of a Classroom Project 047,Completed,Eve,36,43,6,None,16/07/2024,1.0
T002,P047,Task 002 of Innovation of a Classroom Project 047,In Progress,Charlie,24,23,9,T001,08/01/2025,0.68
T003,P047,Task 003 of Innovation of a Classroom Project 047,Completed,David,18,16,3,T002,19/09/2024,1.0
T001,P048,Task 001 of Construction of a Hospital Wing Project 048,In Progress,David,35,39,3,None,13/12/2024,0.49
T002,P048,Task 002 of Construction of a Hospital Wing Project 048,Pending,Grace,14,13,8,None,21/10/2024,0.96
T003,P048,Task 003 of Construction of a Hospital Wing Project 048,In Progress,David,4,5,10,T002,29/10/2024,0.97
T001,P049,Task 001 of Road Expansion Project 049,Completed,Grace,20,15,5,None,02/08/2024,1.0
T002,P049,Task 002 of Road Expansion Project 049,Pending,Ivy,35,24,8,None,03/08/2024,0.44
T003,P049,Task 003 of Road Expansion Project 049,Pending,Charlie,8,9,7,T002,21/08/2024,0.76
T001,P050,Task 001 of Bridge Maintenance Project 050,In Progress,Eve,38,44,8,None,14/07/2024,0.71
T002,P050,Task 002 of Bridge Maintenance Project 050,Completed,Grace,40,29,9,T001,15/07/2024,1.0
T003,P050,Task 003 of Bridge Maintenance Project 050,In Progress,David,18,16,1,T002,27/07/2024,0.09
T001,P051,Task 001 of Office Building Renovation Project 051,Pending,Alice,19,23,2,None,10/12/2024,0.03
T002,P051,Task 002 of Office Building Renovation Project 051,Completed,Frank,27,28,9,T001,14/09/2024,1.0
T003,P051,Task 003 of Office Building Renovation Project 051,In Progress,Ivy,12,10,5,T002,16/10/2024,0.41
T001,P052,Task 001 of Apartment Complex Development Project 052,In Progress,Ivy,19,24,7,None,21/07/2025,0.88
T002,P052,Task 002 of Apartment Complex Development Project 052,Pending,Grace,14,12,4,None,02/06/2025,0.19
T003,P052,Task 003 of Apartment Complex Development Project 052,In Progress,Ivy,9,9,9,T002,18/08/2025,0.63
T001,P053,Task 001 of Commercial Center Construction Project 053,In Progress,Alice,3,2,2,None,17/11/2024,0.48
T002,P053,Task 002 of Commercial Center Construction Project 053,Pending,Charlie,21,27,2,T001,14/10/2024,0.45
T003,P053,Task 003 of Commercial Center Construction Project 053,Pending,Charlie,6,5,7,T002,26/10/2024,0.66
T001,P054,Task 001 of Highway Reconstruction Project 054,Pending,Charlie,25,32,5,None,23/12/2024,0.95
T002,P054,Task 002 of Highway Reconstruction Project 054,Pending,Ivy,33,28,7,T001,21/02/2025,0.32
T003,P054,Task 003 of Highway Reconstruction Project 054,In Progress,Eve,16,20,1,T002,23/04/2025,0.75
T001,P055,Task 001 of Airport Expansion Project 055,In Progress,David,17,19,2,None,11/04/2025,0.36
T002,P055,Task 002 of Airport Expansion Project 055,Pending,David,29,27,6,T001,20/08/2025,0.17
T003,P055,Task 003 of Airport Expansion Project 055,In Progress,Alice,27,21,5,None,27/08/2025,0.09
T001,P056,Task 001 of Shopping Mall Renovation Project 056,Completed,Eve,25,27,8,None,11/09/2024,1.0
T002,P056,Task 002 of Shopping Mall Renovation Project 056,In Progress,Eve,23,28,2,T001,27/10/2024,0.08
T003,P056,Task 003 of Shopping Mall Renovation Project 056,In Progress,Alice,40,37,2,T002,26/10/2024,0.19
T001,P057,Task 001 of University Dormitory Construction Project 057,In Progress,Frank,20,25,7,None,02/06/2025,0.15
T002,P057,Task 002 of University Dormitory Construction Project 057,Completed,Bob,6,7,5,None,21/04/2024,1.0
T003,P057,Task 003 of University Dormitory Construction Project 057,In Progress,Alice,28,27,4,None,15/12/2024,0.66
T001,P058,Task 001 of Sports Stadium Upgrade Project 058,Completed,Alice,20,20,4,None,20/08/2024,1.0
T002,P058,Task 002 of Sports Stadium Upgrade Project 058,Pending,Bob,10,12,1,T001,30/08/2025,0.99
T003,P058,Task 003 of Sports Stadium Upgrade Project 058,Pending,David,3,3,9,T002,03/07/2025,0.93
T001,P059,Task 001 of Public Library Renovation Project 059,Pending,Grace,2,2,8,None,26/08/2024,0.47
T002,P059,Task 002 of Public Library Renovation Project 059,Completed,Alice,34,30,2,T001,23/07/2024,1.0
T003,P059,Task 003 of Public Library Renovation Project 059,Completed,Charlie,33,45,6,T002,10/07/2024,1.0
T001,P060,Task 001 of Building a Park Project 060,Pending,Ivy,8,10,7,None,09/11/2024,0.44
T002,P060,Task 002 of Building a Park Project 060,Completed,Alice,5,4,7,T001,21/09/2024,1.0
T003,P060,Task 003 of Building a Park Project 060,In Progress,Bob,34,29,8,T002,14/10/2024,0.37
T001,P061,Task 001 of Renovation of a School Project 061,Pending,Bob,31,31,10,None,02/05/2025,0.84
T002,P061,Task 002 of Renovation of a School Project 061,In Progress,Eve,34,32,4,T001,17/05/2025,0.25
T003,P061,Task 003 of Renovation of a School Project 061,In Progress,Eve,36,40,4,None,24/08/2025,0.0
T001,P062,Task 001 of Innovation of a Classroom Project 062,Pending,Eve,11,11,10,None,23/03/2025,0.11
T002,P062,Task 002 of Innovation of a Classroom Project 062,Completed,Charlie,16,14,10,T001,22/09/2024,1.0
T003,P062,Task 003 of Innovation of a Classroom Project 062,Pending,David,38,35,3,None,15/02/2025,0.15
T001,P063,Task 001 of Construction of a Hospital Wing Project 063,In Progress,David,5,5,8,None,27/12/2024,0.55
T002,P063,Task 002 of Construction of a Hospital Wing Project 063,Completed,Grace,31,38,4,None,17/08/2024,1.0
T003,P063,Task 003 of Construction of a Hospital Wing Project 063,In Progress,David,2,1,7,T002,07/04/2025,0.68
T001,P064,Task 001 of Road Expansion Project 064,Completed,Grace,30,38,3,None,21/09/2024,1.0
T002,P064,Task 002 of Road Expansion Project 064,Completed,Ivy,6,4,8,None,19/07/2024,1.0
T003,P064,Task 003 of Road Expansion Project 064,Completed,Charlie,40,30,9,None,24/09/2024,1.0
T001,P065,Task 001 of Bridge Maintenance Project 065,Completed,Eve,18,17,7,None,02/02/2024,1.0
T002,P065,Task 002 of Bridge Maintenance Project 065,In Progress,Grace,26,26,10,T001,12/10/2024,0.41
T003,P065,Task 003 of Bridge Maintenance Project 065,Pending,Alice,26,26,2,None,28/09/2024,0.6
T001,P066,Task 001 of Office Building Renovation Project 066,In Progress,Alice,32,24,6,None,17/11/2024,0.53
T002,P066,Task 002 of Office Building Renovation Project 066,Pending,Frank,20,14,6,None,26/10/2024,0.55
T003,P066,Task 003 of Office Building Renovation Project 066,Pending,Ivy,1,1,4,T002,06/09/2024,0.61
T001,P067,Task 001 of Apartment Complex Development Project 067,In Progress,Ivy,10,13,9,None,31/12/2024,0.04
T002,P067,Task 002 of Apartment Complex Development Project 067,In Progress,Grace,4,3,4,None,19/12/2024,0.71
T003,P067,Task 003 of Apartment Complex Development Project 067,Completed,Ivy,8,8,10,T002,02/03/2024,1.0
T001,P068,Task 001 of Commercial Center Construction Project 068,Pending,Alice,28,19,10,None,14/05/2025,0.48
T002,P068,Task 002 of Commercial Center Construction Project 068,Pending,Charlie,32,26,5,T001,06/02/2025,0.93
T003,P068,Task 003 of Commercial Center Construction Project 068,Completed,Charlie,8,11,6,T002,23/02/2024,1.0
T001,P069,Task 001 of Highway Reconstruction Project 069,Pending,Charlie,16,19,10,None,22/02/2025,0.28
T002,P069,Task 002 of Highway Reconstruction Project 069,In Progress,Ivy,36,30,4,None,10/08/2025,0.13
T003,P069,Task 003 of Highway Reconstruction Project 069,Pending,Eve,3,4,2,None,02/08/2025,0.5
T001,P070,Task 001 of Airport Expansion Project 070,In Progress,Alice,0,1,3,None,11/06/2025,0.98
T002,P070,Task 002 of Airport Expansion Project 070,In Progress,David,21,22,1,T001,13/09/2025,0.11
T003,P070,Task 003 of Airport Expansion Project 070,Completed,Alice,26,35,7,None,18/03/2024,1.0
T001,P071,Task 001 of Shopping Mall Renovation Project 071,Completed,Eve,32,27,4,None,06/02/2024,1.0
T002,P071,Task 002 of Shopping Mall Renovation Project 071,In Progress,Eve,3,3,1,None,09/02/2024,0.62
T003,P071,Task 003 of Shopping Mall Renovation Project 071,Completed,Alice,10,11,6,T002,12/02/2024,1.0
T001,P072,Task 001 of University Dormitory Construction Project 072,In Progress,Frank,20,25,10,None,21/05/2025,0.77
T002,P072,Task 002 of University Dormitory Construction Project 072,Completed,Bob,29,34,2,T001,24/05/2024,1.0
T003,P072,Task 003 of University Dormitory Construction Project 072,Pending,Alice,0,1,6,T002,08/06/2025,0.36
T001,P073,Task 001 of Sports Stadium Upgrade Project 073,Completed,Alice,29,28,1,None,10/09/2024,1.0
T002,P073,Task 002 of Sports Stadium Upgrade Project 073,Completed,Bob,24,29,8,T001,19/08/2024,1.0
T003,P073,Task 003 of Sports Stadium Upgrade Project 073,Completed,David,14,12,6,T002,01/09/2024,1.0
T001,P074,Task 001 of Public Library Renovation Project 074,Pending,Grace,13,10,4,None,15/07/2024,0.74
T002,P074,Task 002 of Public Library Renovation Project 074,Pending,Alice,8,10,3,None,24/07/2024,0.18
T003,P074,Task 003 of Public Library Renovation Project 074,In Progress,Charlie,39,38,1,T002,11/07/2024,0.05
T001,P075,Task 001 of Building a Park Project 075,Completed,Ivy,11,13,3,None,05/06/2024,1.0
T002,P075,Task 002 of Building a Park Project 075,Pending,Alice,11,14,7,T001,01/09/2025,0.26
T003,P075,Task 003 of Building a Park Project 075,In Progress,Bob,0,1,3,T002,14/07/2025,0.29
T001,P076,Task 001 of Renovation of a School Project 076,Pending,Bob,15,11,5,None,27/07/2024,0.71
T002,P076,Task 002 of Renovation of a School Project 076,Completed,Eve,19,17,5,T001,10/08/2024,1.0
T003,P076,Task 003 of Renovation of a School Project 076,Pending,Eve,10,8,9,T002,18/07/2024,0.21
T001,P077,Task 001 of Innovation of a Classroom Project 077,In Progress,Eve,2,2,5,None,26/01/2025,0.85
T002,P077,Task 002 of Innovation of a Classroom Project 077,Completed,Charlie,39,54,9,T001,04/05/2024,1.0
T003,P077,Task 003 of Innovation of a Classroom Project 077,Pending,David,1,1,4,T002,03/03/2025,0.15
T001,P078,Task 001 of Construction of a Hospital Wing Project 078,Completed,Alice,25,25,3,None,18/04/2024,1.0
T002,P078,Task 002 of Construction of a Hospital Wing Project 078,In Progress,Grace,4,5,7,T001,11/03/2024,0.95
T003,P078,Task 003 of Construction of a Hospital Wing Project 078,Completed,Alice,12,8,8,None,04/04/2024,1.0
T001,P079,Task 001 of Road Expansion Project 079,In Progress,Grace,13,17,6,None,01/01/2025,0.11
T002,P079,Task 002 of Road Expansion Project 079,In Progress,Ivy,34,31,6,T001,07/03/2025,0.05
T003,P079,Task 003 of Road Expansion Project 079,Completed,Charlie,13,10,9,T002,24/05/2024,1.0
T001,P080,Task 001 of Bridge Maintenance Project 080,Pending,Eve,13,15,9,None,06/07/2024,0.7
T002,P080,Task 002 of Bridge Maintenance Project 080,In Progress,Grace,15,20,6,T001,13/06/2024,0.65
T003,P080,Task 003 of Bridge Maintenance Project 080,Completed,Alice,27,32,10,T002,22/06/2024,1.0
T001,P081,Task 001 of Office Building Renovation Project 081,In Progress,Alice,26,25,3,None,03/01/2025,0.08
T002,P081,Task 002 of Office Building Renovation Project 081,In Progress,Frank,5,3,10,T001,23/02/2025,0.09
T003,P081,Task 003 of Office Building Renovation Project 081,Completed,Ivy,5,3,1,T002,20/06/2024,1.0
T001,P082,Task 001 of Apartment Complex Development Project 082,In Progress,Ivy,4,3,9,None,11/03/2025,0.47
T002,P082,Task 002 of Apartment Complex Development Project 082,Completed,Grace,10,12,2,T001,16/09/2024,1.0
T003,P082,Task 003 of Apartment Complex Development Project 082,In Progress,Ivy,21,25,1,T002,07/03/2025,0.58
T001,P083,Task 001 of Commercial Center Construction Project 083,Completed,Alice,24,16,4,None,27/05/2024,1.0
T002,P083,Task 002 of Commercial Center Construction Project 083,Completed,Charlie,19,17,6,None,11/05/2024,1.0
T003,P083,Task 003 of Commercial Center Construction Project 083,In Progress,Charlie,28,24,10,T002,09/06/2024,0.37
T001,P084,Task 001 of Highway Reconstruction Project 084,Pending,Charlie,17,16,5,None,06/05/2025,0.54
T002,P084,Task 002 of Highway Reconstruction Project 084,In Progress,Ivy,16,12,4,T001,13/04/2025,0.91
T003,P084,Task 003 of Highway Reconstruction Project 084,Pending,Eve,14,15,4,T002,19/03/2025,0.2
T001,P085,Task 001 of Airport Expansion Project 085,Pending,Alice,17,19,3,None,05/11/2024,0.02
T002,P085,Task 002 of Airport Expansion Project 085,Completed,David,15,12,1,None,19/09/2024,1.0
T003,P085,Task 003 of Airport Expansion Project 085,Pending,Alice,24,26,4,T002,10/11/2024,0.51
T001,P086,Task 001 of Shopping Mall Renovation Project 086,In Progress,Eve,35,26,3,None,28/11/2024,0.54
T002,P086,Task 002 of Shopping Mall Renovation Project 086,Completed,Eve,6,5,7,T001,24/09/2024,1.0
